,name,type,promoter.name,info,pleaseNote,priceMin,priceMax,subGenre,city,state,venueName,attractionName,artists,num.artists,latitude,longitude,venueUpcoming,meanPrice,date
59,NF - The Search Tour,event,LIVE NATION MUSIC,There is a delivery delay till 4/18,"Floor seating is General Admission Standing. There are no chairs on the floor for this show. Guests attending Agganis Arena events are advised that professional cameras, video equipment, laptops, tablets, large bags, backpacks, luggage and like articles will be strictly prohibited from the facility. All guests may be subject to search of their person and/or possessions. Patrons with prohibited articles will be turned away and no storage or ""check-in area"" will be provided. There is a delivery delay till 4/18",30.5,95.5,French Rap,Boston,Massachusetts,Agganis Arena,NF,['NF'],1,42.3514544,-71.1176226,30,63.0,2020-04-21
60,The Weeknd with Special Guests Sabrina Claudio And Don Toliver,event,LIVE NATION MUSIC,,"To allow for more Card Members to enjoy the show, American Express has set a two-order limit for this offer. This limit applies across all Cards associated with all of your American Express accounts. Prepaid Cards are not eligible.",26.75,422.75,French Rap,Tulsa,Oklahoma,BOK Center,The Weeknd,"['The Weeknd', 'Sabrina Claudio', 'Don Toliver']",3,36.15287358,-95.99613726,20,224.75,2020-08-22
61,The Weeknd with Special Guests Sabrina Claudio And Don Toliver,event,LIVE NATION MUSIC,,"To allow for more Card Members to enjoy the show, American Express has set a two-order limit for this offer. This limit applies across all Cards associated with all of your American Express accounts. Prepaid Cards are not eligible.",25.75,421.75,French Rap,Salt Lake City,Utah,Vivint Smart Home Arena,The Weeknd,"['The Weeknd', 'Sabrina Claudio', 'Don Toliver']",3,40.767798,-111.901096,20,223.75,2020-07-29
62,Russ,event,LIVE NATION MUSIC,,Click Here to Visit Live Nation Online,29.5,99.5,French Rap,San Diego,California,Cal Coast Credit Union Open Air Theatre at SDSU,Russ,"['Russ', 'Benny The Butcher', 'BIA', 'Bugus']",4,32.77478601,-117.0712325,16,64.5,2020-05-06
63,The Weeknd with Special Guests Sabrina Claudio And Don Toliver,event,LIVE NATION MUSIC,"There is a strict overall 8 ticket limit per person, address, credit card, IP, household etc. as well as other specific limits. Violation of any ticket limits or attempts to counter the limit measures could result in cancellation of all orders at the discretion of the venue/promoter. Tickets are not transferable. No Resale / No Refund / No Exchanges / No Alternate Pick Ups allowed. PLEASE NOTE: Clear Bag Policy is in effect for all events taking place at the Smoothie King Center. Visit the link below for details.","To allow for more Card Members to enjoy the show, American Express has set a two-order limit for this offer. This limit applies across all Cards associated with all of your American Express accounts. Prepaid Cards are not eligible. There is a strict overall 8 ticket limit per person, address, credit card, IP, household etc. as well as other specific limits. Violation of any ticket limits or attempts to counter the limit measures could result in cancellation of all orders at the discretion of the venue/promoter. Tickets are not transferable. No Resale / No Refund / No Exchanges / No Alternate Pick Ups allowed. PLEASE NOTE: Clear Bag Policy is in effect for all events taking place at the Smoothie King Center.",35.0,421.75,French Rap,New Orleans,Louisiana,Smoothie King Center,The Weeknd,"['The Weeknd', 'Sabrina Claudio', 'Don Toliver']",3,29.9489653,-90.079688,19,228.375,2020-07-23
64,NF - The Search Tour,event,LIVE NATION MUSIC,,"Be an ""IN THE KNOW"" subscriber and receive free event announcements via email from Verizon Arena. Click here to sign up!",35.0,99.5,French Rap,North Little Rock,Arkansas,Simmons Bank Arena,NF,['NF'],1,34.754941,-92.264314,20,67.25,2020-04-09
65,Hot 107.9 Birthday Bash 25,event,PROMOTED BY VENUE,,,10.79,189.0,French Rap,Atlanta,Georgia,State Farm Arena,Hot 107.9 Birthday Bash,['Hot 107.9 Birthday Bash'],1,33.757796,-84.394569,21,99.895,2020-06-20
66,Russ,event,ANOTHER PLANET,,"All events are rain or shine. This show is entirely general admission. A general admission ticket will allow you access to all areas of the Greek Theatre on a first-come, first-served basis.",59.5,59.5,French Rap,Berkeley,California,Greek Theatre-U.C. Berkeley,Russ,"['Russ', 'Benny The Butcher', 'Bia', 'Bugus']",4,37.8740742,-122.2555418,17,59.5,2020-05-03
67,The Weeknd with Special Guests Sabrina Claudio And Don Toliver,event,LIVE NATION MUSIC,"Bag Policy: Bags permitted into CHI Health Center Omaha must be clear plastic, vinyl or PVC totes measuring 12x12x6 or a one gallon clear freezer bag. Small, opaque clutch-sized bags measuring 4.5x6.5 will also be allowed inside the arena after a proper security inspection. Oversized bags or purses are not permitted. Exceptions will be made for bags with medical necessity.","To allow for more Card Members to enjoy the show, American Express has set a two-order limit for this offer. This limit applies across all Cards associated with all of your American Express accounts. Prepaid Cards are not eligible.",26.75,422.75,French Rap,Omaha,Nebraska,CHI Health Center Omaha,The Weeknd,"['The Weeknd', 'Sabrina Claudio', 'Don Toliver']",3,41.2637516,-95.9284094,29,224.75,2020-08-23
68,Russ - Shake the Globe Tour,event,LIVE NATION MUSIC,"This is an ALL AGES event. Aragon Ballroom is a standing room only venue, all tickets are General Admission unless otherwise stated. There is NO re-entry.","This is an ALL AGES event. Byline Bank Aragon Ballroom is a standing room only venue, all tickets are General Admission unless otherwise stated. There is NO re-entry.",59.75,59.75,French Rap,Chicago,Illinois,Byline Bank  Aragon Ballroom,Russ,"['Russ', 'Benny The Butcher', 'Bia', 'Bugus']",4,41.96941873,-87.65797212,25,59.75,2020-06-16
69,NF - The Search Tour,event,PROMOTED BY VENUE,"This show has a General Admission Pit, which is standing room only General parking is included in the final purchase price","This show has a General Admission Pit, which is standing room only General parking is included in the final purchase price",23.5,99.5,French Rap,Cincinnati,Ohio,PNC PAVILION,NF,['NF'],1,39.052082,-84.416862,20,61.5,2020-05-07
70,Lil Baby and NBA YoungBoy,event,PROMOTED BY VENUE,,,52.0,195.0,French Rap,Louisville,Kentucky,Broadbent Arena,Lil Baby,"['Lil Baby', 'NBA Youngboy']",2,38.192998,-85.740523,1,123.5,2020-04-11
71,NF - The Search Tour,event,ANOTHER PLANET,,"Mobile barcodes can be downloaded 72 hours prior to show. All tickets for this show are general admission, standing on floor level or seated upstairs on a first come, first serve basis.",49.5,49.5,French Rap,San Francisco,California,Bill Graham Civic Auditorium,NF,['NF'],1,37.778479,-122.417473,19,49.5,2020-05-16
72,Russ,event,ANOTHER PLANET,,"All tickets for this show are general admission, standing on floor level or seated upstairs on a first come, first serve basis. You will be admitted to the level which you purchase a ticket for - either Downstairs or Upstairs",48.95,48.95,French Rap,Davis,California,ARC Pavilion at UC Davis,Russ,"['Russ', 'Benny The Butcher', 'Bia', 'Bugus']",4,38.537281,-121.750944,1,48.95,2020-05-04
73,The Weeknd with Special Guests Sabrina Claudio And Don Toliver,event,LIVE NATION MUSIC,,"To allow for more Card Members to enjoy the show, American Express has set a two-order limit for this offer. This limit applies across all Cards associated with all of your American Express accounts. Prepaid Cards are not eligible.",106.25,186.25,French Rap,Uncasville,Connecticut,Mohegan Sun Arena,The Weeknd,"['The Weeknd', 'Sabrina Claudio', 'Don Toliver', '88Glam']",4,41.4915974,-72.0914563,48,146.25,2020-07-04
74,The Reunion Concert with No Limit Soldiers,event,PROMOTED BY VENUE,"Doors 6pm. Show 7pm. All dates, acts, & ticket prices subject to change without notice. All tickets are subject to applicable service fees via all points of sale. Please note during the months of September through May, we are in Hockey season. Due to the ice rink, our building tends to stay on the colder side, Please plan accordingly. Lineup: No Limit Soldiers Three 6 Mafia Master P Juicy J DJ Paul Silkk The Shocker Mystikal Mia X Fiend Artist lineup subject to change without notice. All sales final.","Doors 6pm. Show 7pm. All dates, acts, & ticket prices subject to change without notice. All tickets are subject to applicable service fees via all points of sale. Please note during the months of September through May, we are in Hockey season. Due to the ice rink, our building tends to stay on the colder side, Please plan accordingly. Lineup: No Limit Soldiers Three 6 Mafia Master P Juicy J DJ Paul Silkk The Shocker Mystikal Mia X Fiend Artist lineup subject to change without notice. All sales final.",41.0,181.0,French Rap,Charlotte,North Carolina,Bojangles' Coliseum,Three 6 Mafia,"['Three 6 Mafia', 'Master P', 'Juicy J', 'Silkk the Shocker', 'Mystikal', 'Mia X', 'Fiend']",7,35.2050931,-80.7953024,7,111.0,2020-05-09
75,Doja Cat - Hot Pink Tour,event,LIVE NATION MUSIC,"This event has moved to the Fillmore Philadelphia: 29 E. ALLEN ST, PHILA Original tickets honored at doors. Refunds available at point of purchase. This is an All Ages event","This event has moved to the Fillmore Philadelphia: 29 E. ALLEN ST, PHILA Original tickets honored at doors. Refunds available at point of purchase. This is an All Ages event",29.5,35.0,French Rap,Philadelphia,Pennsylvania,The Fillmore Philadelphia presented by Cricket Wireless,Doja Cat,"['Doja Cat', 'Ashnikko']",2,39.965803,-75.134686,36,32.25,2020-03-30
76,"Lil' Kim, The Lox, Cam'ron & N.O.R.E",event,PROMOTED BY VENUE,"This event has been reschedule to June 14, 2020 at 7:00 PM. Original tickets will be honored.","This event has been reschedule to June 14, 2020 at 7:00 PM. Original tickets will be honored. The night of the event, we would like to extend a special room offer to you. This special offer is based upon availability and may not be available for all performance nights. To take advantage of this offer, please visit foxwoods.com or call 866-646-0050. If calling, please reference special promotion code ""Ticket"".",75.0,158.0,French Rap,Mashantucket,Connecticut,The Grand Theater at Foxwoods Resort Casino,Lil Kim,"['Lil Kim', 'The Lox', ""Cam'ron"", 'N.O.R.E.']",4,41.4783608,-71.9630872,35,116.5,2020-06-14
77,Russ: Shake The Globe Tour,event,LIVE NATION MUSIC,,This event takes place rain or shine.,39.95,59.95,French Rap,Boston,Massachusetts,Rockland Trust Bank Pavilion,Russ,"['Russ', 'Benny The Butcher', 'BIA', 'Bugus']",4,42.34851323,-71.03587836,32,49.95,2020-06-07
78,Russ: Shake The Globe Tour,event,LIVE NATION MUSIC,"Floor is General Admission/Standing Children ages 2 & up must have a ticket. Seat 1 in Section 105 is NOT an aisle seat. High-numbered end seats in 101 are NOT aisle seats. Seats in the ADA section, labeled WC are removable cushioned folding chairs.","Floor is General Admission/Standing Children ages 2 & up must have a ticket. Seat 1 in Section 105 is NOT an aisle seat. High-numbered end seats in 101 are NOT aisle seats. Seats in the ADA section, labeled WC are removable cushioned folding chairs.",39.5,59.5,French Rap,Sugar Land,Texas,Smart Financial Centre at Sugar Land,Russ,"['Russ', 'Benny The Butcher', 'BIA', 'Bugus']",4,29.577096,-95.643628,35,49.5,2020-05-19
79,NF - The Search Tour,event,LIVE NATION MUSIC,,,49.5,99.5,French Rap,New York,New York,Manhattan Center Hammerstein Ballroom,NF,['NF'],1,40.752664,-73.994309,14,74.5,2020-04-20
80,Zion & Lennox - Iconic Tour 2020,event,PROMOTED BY VENUE,,"ATTENTION! - SAP Center enforces a Clear Bag Policy for all events. For more information, please visit http://www.sapcenter.com/guestservices/clearbag",41.0,152.0,Reggaeton,San Jose,California,SAP Center at San Jose,Zion & Lennox,['Zion & Lennox'],1,37.33276191,-121.90122373,40,96.5,2020-05-16
81,WJZD and Live Nation Present: Spring Jam 2020 feat. Kevin Gates,event,LIVE NATION MUSIC,,This event has been canceled. Refunds at Point of Purchase only. Internet & Phone orders will automatically be canceled & refunded.,39.0,129.0,French Rap,Biloxi,Mississippi,Mississippi Coast Coliseum,Kevin Gates,['Kevin Gates'],1,30.391294,-88.973907,12,84.0,2020-04-04
82,NF - The Search Tour,event,LIVE NATION MUSIC,"Delivery Delay until 72 hours prior to show. Mobile Tickets will not be available to download until that time.""","""Delivery Delay until 72 hours prior to show. Mobile Tickets will not be available to download until that time."" DUE TO HEIGHTENED SECURITY PLEASE ARRIVE EARLY Items ALLOWED to be brought in to venue: (all items are subject to change at the tour's request without notice) One (1) sealed bottle of water up to 24 ounces Personal camera (no flash photography permitted) Lawn chairs Blankets Small personal tote-type umbrellas Binoculars Items NOT ALLOWED to be brought in to venue include, but are not limited to: Weapons of any kind Professional cameras with detachable lenses Audio and video recording equipment including GoPros Glass bottles/cans Outside food & beverages (except for one (1) sealed bottle of water up to 24 ounces) Alcohol Selfie sticks iPads and tablets Laser pointers Backpacks Lawn Seating The lawn is always first come, first served. Guests may notice a row or seat number on their lawn ticket, bu",54.5,99.5,French Rap,Baltimore,Maryland,MECU Pavilion,NF,['NF'],1,39.284033,-76.604426,21,77.0,2020-04-26
83,Russ,event,LIVE NATION MUSIC,,$5 traffic control fee included in ticket price,39.95,59.95,French Rap,Sterling Heights,Michigan,Michigan Lottery Amphitheatre at Freedom Hill,Russ,"['Russ', 'Benny The Butcher', 'BIA', 'Bugus']",4,42.559452,-83.0096244,16,49.95,2020-05-31
84,NF - The Search Tour,event,LIVE NATION MUSIC,"This is an all ages / all weather event. Gates open 1 hour before show time. All guest require a ticket. This show is entirely general admission, guests can stand in front of stage on the floor or sit in unassigned bleacher seats. No back packs or large purses permitted. For further carry-in policies, please call the box office on the day of the show at 216-622-6558, or the local Live Nation office at 216-912-7032. The box office opens at noon on days of Live Nation events only.",*** THIS IS A GENERAL ADMISSION EVENT ***,52.5,99.5,French Rap,Cleveland,Ohio,Jacobs Pavilion at Nautica (formerly Nautica Pavilion),NF,['NF'],1,41.496352,-81.702957,21,76.0,2020-05-08
85,Doja Cat: Hot Pink Tour,event,LIVE NATION MUSIC,"This is an all ages event. Doors 7pm Show 8pm Rows A & B of Sections 201-206 are sold as reserved seating. The remainder of the balconies are general admission, first come first serve. The main floor is general admission, standing room only.","This is an all ages event. Doors 7pm Show 8pm Rows A & B of Sections 201-206 are sold as reserved seating. The remainder of the balconies are general admission, first come first serve. The main floor is general admission, standing room only.",35.0,35.0,French Rap,Atlanta,Georgia,Tabernacle presented by Cricket Wireless,Doja Cat,"['Doja Cat', 'BigKlit']",2,33.758688,-84.391449,36,35.0,2020-04-06
86,NF - The Search Tour,event,PROMOTED BY VENUE,Clear Bag Policy if effect.,Clear Bag Policy in effect.,32.0,72.0,French Rap,Omaha,Nebraska,Baxter Arena,NF,['NF'],1,41.238819,-96.014593,11,52.0,2020-05-11
87,NF - The Search Tour,event,LIVE NATION MUSIC,,"Ages two and up require a ticket for entry. Please note that the floor is general admission standing only, no chairs will be provided.",29.5,49.5,French Rap,Greensboro,North Carolina,Greensboro Coliseum Complex,NF,['NF'],1,36.058332,-79.825534,39,39.5,2020-04-28
88,NF - The Search Tour,event,LIVE NATION MUSIC,This is an all ages event. Doors: 7pm Show: 8pm This event is general admission first come first serve AFTER double lettered rows in the mezzanine.,"This is an all ages event. Doors: 7pm Show: 8pm This event is general admission first come first serve AFTER double lettered rows in the mezzanine. Please adhere to published ticket limits. If you exceed the ticket limit, you may have any or all of your orders and tickets canceled without notice. Delivery will be delayed to check for duplicate orders. eTickets are available beginning 72 hours prior to the event.",65.0,65.0,French Rap,Atlanta,Georgia,Coca-Cola Roxy,NF,['NF'],1,33.89024,-84.469717,39,65.0,2020-05-03
89,Russ,event,LIVE NATION MUSIC,,,39.95,59.95,French Rap,Independence,Missouri,Silverstein Eye Centers Arena,Russ,"['Russ', 'Benny The Butcher', 'BIA', 'Bugus']",4,39.0375863,-94.3556285,14,49.95,2020-06-20
90,Kevin Gates- I'm Him Part 2 Tour,event,PROMOTED BY VENUE,,Ages two and up require a ticket for entry.,34.5,72.5,French Rap,Greensboro,North Carolina,Greensboro Coliseum Complex,Kevin Gates,['Kevin Gates'],1,36.058332,-79.825534,39,53.5,2020-06-11
91,Russ: Shake The Globe Tour,event,LIVE NATION - NO LN CONCERTS BRANDING,"Live Nation presents: RUSS *Shake The Globe Tour* Support: Benny The Butcher Bia Bugus Thursday June 18th, 2020 The Armory 500 S 6th Street Minneapolis, MN 55415 For venue information and FAQs visit: www.armorymn.com Suite & Table Reservations: call 612-281-2655 or visit www.armorymn.com/premium-experience There is NO RE-ENTRY at The Armory. Doors at 7:00 pm Show at 8:00 pm","This is an ALL AGES show, however, our CLUB level balcony section is 21+ for this event. You must be 21+ to purchase and redeem the CLUB section tickets. Any purchaser under 21 should purchase GA floor tickets or Balcony level reserved tickets. Please Note: There is a $5.00 printing fee when you choose ""Mobile"" tickets and request them to be printed in hard copy at the Box Office. This fee is not always applicable for ""Will Call"" tickets. The Armory always encourages eco-friendly options whenever possible.",37.0,67.0,French Rap, Minneapolis,Minnesota,Armory,Russ,"['Russ', 'Benny The Butcher', 'BIA', 'Bugus']",4,44.975183,-93.263512,27,52.0,2020-06-18
92,Russ,event,LIVE NATION MUSIC,"This is an all ages event. Gen Adm standing Floor / Reserved Mezz Doors: 7pm Show: 8pm Support Acts: Benny The Butcher, BIA, Bugus","This is an all ages event. Gen Adm standing Floor / Reserved Mezz Doors: 7pm Show: 8pm Support Acts: Benny The Butcher, BIA, Bugus",49.5,79.5,French Rap,Atlanta,Georgia,Coca-Cola Roxy,Russ,"['Russ', 'Benny The Butcher', 'BIA', 'Bugus']",4,33.89024,-84.469717,39,64.5,2020-06-26
93,NF - The Search Tour,event,LIVE NATION MUSIC,,"Parking is included with your ticket purchase at Daily's Place, unless otherwise noted.",39.5,69.5,French Rap,Jacksonville,Florida,Daily's Place,NF,['NF'],1,30.323925,-81.637323,20,54.5,2020-05-02
94,Russ,event,LIVE NATION MUSIC,"Doors open at 7pm. Rain or shine event. Get a copy of Russ' forthcoming album with every ticket purchased online ! Each ticket purchased online for Russ' US Tour dates comes with a CD copy of his forthcoming album SHAKE THE SNOW GLOBE (maximum of 4 CD's per household). After your ticket purchase, you'll receive an additional email in the coming weeks with instructions on how to redeem your CD. US purchasers only. Not valid for fan-to-fan resale.","Doors open at 7pm. Rain or shine event. Get a copy of Russ' forthcoming album with every ticket purchased online ! Each ticket purchased online for Russ' US Tour dates comes with a CD copy of his forthcoming album SHAKE THE SNOW GLOBE (maximum of 4 CD's per household). After your ticket purchase, you'll receive an additional email in the coming weeks with instructions on how to redeem your CD. US purchasers only. Not valid for fan-to-fan resale.",39.5,69.5,French Rap,Miami,Florida,FPL Solar Amphitheater at Bayfront Park,Russ,"['Russ', 'Benny The Butcher', 'BIA', 'Bugus']",4,25.776218,-80.186024,6,54.5,2020-05-22
95,NF - The Search Tour,event,LIVE NATION MUSIC,,,21.0,49.5,French Rap,Huntsville,Alabama,Von Braun Center Arena,NF,['NF'],1,34.726557,-86.589925,20,35.25,2020-05-05
96,Yo Gotti,event,PROMOTED BY VENUE,,,34.5,123.0,French Rap,Memphis,Tennessee,FedExForum,Yo Gotti,['Yo Gotti'],1,35.1394709,-90.0514933,14,78.75,2020-06-19
97,Russ,event,PROMO WEST,,"** This show is outdoors! ** Wheelchair Accessible seating is reserved, all other tickets are general admission.",39.75,99.0,French Rap,Columbus,Ohio,EXPRESS LIVE!,Russ,"['Russ', 'Benny The Butcher', 'BIA', 'Bugus']",4,39.96974489,-83.01006759,26,69.375,2020-06-22
98,NF - The Search Tour,event,LIVE NATION MUSIC,"Bon Secours Wellness Arena has a clear bag policy for all events. Each ticketed guest will be permitted to carry one large clear bag, either a Ziploc style bag or a 12""x6""x12"" clear bag, plus a small clutch purse (4.5""x6.5""). There is a mobile ticket delivery delay in place until 26-APR-2020.",,24.5,99.5,French Rap,Greenville,South Carolina,Bon Secours Wellness Arena ,NF,['NF'],1,34.8573121,-82.3970138,29,62.0,2020-04-29
99,Russ: Shake The Globe Tour,event,LIVE NATION MUSIC,Doors open at 7:00 PM.,Doors open at 7:00 PM.,39.5,79.5,French Rap,Philadelphia,Pennsylvania,The Met Philadelphia,Russ,"['Russ', 'Benny The Butcher', 'BIA', 'Bugus']",4,39.969938,-75.160278,49,59.5,2020-06-10
100,Derby Soundstage 2020,event,PROMOTED BY VENUE,Rap greats T.I. and Megan Thee Stallion bring the beats to Louisville for this one night only performance.,Line-up is subject to change. No refunds. *Children 2 and over require a ticket. Children under 2 must sit on the lap of the parent or guardian for the entirety of the performance.* Tickets will not be available for purchase every Friday at 7 PM through Saturday at 7 PM.,50.0,200.0,French Rap,Louisville,Kentucky,Freedom Hall,T.I.,"['T.I.', 'Megan Thee Stallion']",2,38.1124,-85.6929659,3,125.0,2020-04-30
101,Moneybagg Yo - Time Served Tour,event,LIVE NATION MUSIC,"All ages welcome. Doors 7PM Show 8PM The main floor is general admission, standing room only. The balconies are reserved, assigned seating.",,39.5,65.0,French Rap,Atlanta,Georgia,Tabernacle presented by Cricket Wireless,Moneybagg Yo,['Moneybagg Yo'],1,33.758688,-84.391449,36,52.25,2020-04-07
102,Rod Wave,event,BOWERY PRESENTS,,16 AND OVER WITH ID,27.5,27.5,French Rap,New York,New York,Webster Hall,Rod Wave,['Rod Wave'],1,40.73170187,-73.98923951,82,27.5,2020-03-17
103,Russ,event,LIVE NATION MUSIC,"This is an outdoor venue with no seats under cover The show will take place rain or shine. All dates, acts, & ticket prices subject to change without notice. All tickets are subject to applicable service fees via all points of sale.","This is an outdoor venue with no seats under cover The show will take place rain or shine. All dates, acts, & ticket prices subject to change without notice. All tickets are subject to applicable service fees via all points of sale.",39.95,69.95,French Rap,Charlotte,North Carolina,Charlotte Metro Credit Union Amphitheatre,Russ,"['Russ', 'Benny The Butcher', 'Bia', 'Bugus']",4,35.239793,-80.845042,23,54.95,2020-05-24
104,Moneybagg Yo: Time Served Tour,event,LIVE NATION MUSIC,This is a General Admission - Standing Room Only Event. This show is for 18+. All support acts are subject to change without notice. Doors for this event open at 7:00 PM. Show starts at 8:00 PM.,This is a General Admission - Standing Room Only Event. This show is for is for 18+. All support acts are subject to change without notice. Doors for this event open at 7:00 PM. Show starts at 8:00 PM.,32.0,32.0,French Rap,Silver Spring,Maryland,The Fillmore Silver Spring presented by Cricket Wireless,Moneybagg Yo,"['Moneybagg Yo', 'Fredo Bang', '42 Dugg', 'Blacc Zacc']",4,38.99734055,-77.02746183,64,32.0,2020-03-30
105,NF - The Search Tour,event,PROMOTED BY VENUE,"All Ages Event Doors 7:00pm / Show 8:00pm FLOOR tickets are Standing Room Only. Main (100s) and Gallery (200s) Level Tickets are reserved seating and DO NOT include access to the FLOOR. GALLERY GA tickets are standing room only in the GALLERY level and DO NOT include access to the FLOOR. No refunds or exchanges. Live Entertainment Tax is included in the purchase of each ticket. Non-professional cameras allowed, no detachable lenses. Audio/video recorders, tablets/ipads, and selfie sticks are not allowed. Guests accept all customary risks associated with live events. No outside Food and Beverage allowed into the venue. Due to security requirements, backpacks, wallet chains, spiked accessories, and bags/purses larger than 8.5"" x 11"" will not be allowed in the venue. Guest and bags/purchases are subject to inspection.",Doors 7:00pm / Show 8:00pm,29.0,92.5,French Rap,Las Vegas,Nevada,The Cosmopolitan of Las Vegas,NF,['NF'],1,36.10907659,-115.17318003,35,60.75,2020-05-15
106,Lil Dicky,event,PROMOTED BY VENUE,"LIL DICKY performs at Ball State University's John E. Worthen Arena on Friday, April 24 at 8:00 PM.",This event has been canceled. Refunds at Point of Purchase only. Internet & Phone orders will automatically be canceled & refunded.,25.0,45.0,French Rap,Muncie,Indiana,John E Worthen Arena,Lil Dicky,['Lil Dicky'],1,40.2113782,-85.4114344,1,35.0,2020-04-24
107,Doja Cat: Hot Pink Tour,event,LIVE NATION MUSIC,"The Fillmore Is A General Admission Standing Room Only Venue Unless Otherwise Noted. All Ages Welcome Doors: 7:00PM Show: 8:00PM Ticket prices will increase the day of the show. All dates, acts, and ticket prices subject to change without notice. All tickets are subject to applicable service fees via all points of purchase.","The Fillmore Is A General Admission Standing Room Only Venue Unless Otherwise Noted. All Ages Welcome Doors: 7:00PM Show: 8:00PM Ticket prices will increase the day of the show. All dates, acts, and ticket prices subject to change without notice. All tickets are subject to applicable service fees via all points of purchase.",25.0,29.5,French Rap,Charlotte,North Carolina,The Fillmore Charlotte presented by Cricket Wireless,Doja Cat,['Doja Cat'],1,35.239095,-80.845519,37,27.25,2020-04-03
108,Blackbear,event,PROMOTED BY VENUE,,,25.0,25.0,French Rap,Omaha,Nebraska,Baxter Arena,Blackbear,"['Blackbear', 'Marc E. Bassy']",2,41.238819,-96.014593,11,25.0,2020-04-02
109,The Weeknd with Special Guests Sabrina Claudio And Don Toliver,event,PROMOTED BY VENUE,,"To allow for more Card Members to enjoy the show, American Express has set a two-order limit for this offer. This limit applies across all Cards associated with all of your American Express accounts. Prepaid Cards are not eligible.",26.75,422.75,French Rap,St Louis,Missouri,Enterprise Center,The Weeknd,"['The Weeknd', 'Sabrina Claudio', 'Don Toliver']",3,38.626432,-90.202617,22,224.75,2020-08-25
110,Feed The Streetz Tour 2020,event,PROMOTED BY VENUE,,,90.0,335.0,French Rap,Inglewood,California,The Forum,Rick Ross,"['Rick Ross', 'Jeezy', 'T.I.', 'Yo Gotti', 'DJ Drama', 'Boosie BadAzz', '2 Chainz', 'Lil Kim']",8,33.9583,-118.341868,42,212.5,2020-05-22
111,Russ,event,PROMO WEST,"In order to ensure the safety of our patrons and to increase the efficiency of our entry procedure, Stage AE will be implementing a new bag policy to mirror the bag policy of the NFL, effective September 15th, 2017. Only bags within 4.5 x 6.5 x 3 inches will be allowed into the venue for events. We will also allow one gallon or smaller clear plastic bags sized at or under 12 x12 x6 (inches). e.g., Ziploc, NFL branded entry bags. Large bags such as (but not limited to) backpacks, purses, drawstring bags, totes and carry alls will not be allowed into the venue. As before, the contents of any bag allowed onto the premises will be inspected for prohibited items. Any prohibited items or bags must be taken back to your vehicle or disposed of. Stage AE or any affiliate of will not be responsible for securing your personal items. Anything placed outside of our gates or fence will be discarded or removed by authorities.",This show is outdoors - Rain or Shine!,39.75,99.0,French Rap,Pittsburgh,Pennsylvania,STAGE AE,Russ,"['Russ', 'Benny The Butcher', 'BIA', 'Bugus']",4,40.445954,-80.0111627,35,69.375,2020-06-14
112,G Herbo,event,HOUSE OF BLUES CONCERTS (HOB),"This event has been rescheduled to July 26th, 2020. Original tickets will be honored on the new date. This is an All Ages Event.","This event has been rescheduled to July 26th, 2020. Original tickets will be honored. This is an All Ages Event.",25.0,25.0,French Rap,Houston,Texas,House of Blues Houston presented by Cricket Wireless,G Herbo,"['G Herbo', 'King Von', 'Lil Loaded', 'Shaun Sloan', 'Pretty Savage']",5,29.75377797,-95.36381697,83,25.0,2020-07-26
113,Rod Wave & Friends,event,PROMOTED BY VENUE,"MaconFest brings Rod Wave, Rich Homie Quan, Plies, Webbie, The Taylor Girlz & Jacques Johnson to the Macon Centreplex Coliseum on April 17th! **Line up subject to change** ALL AGES VIP Packages are available and include the following: - Meet & Greet with Webbie, Rich Homie Quan, The Taylor Girlz & Jacques Johnson - Early Entry - Discounted Access to show after party",,40.0,250.0,French Rap,Macon,Georgia,Macon Centreplex Coliseum,Rod Wave,"['Rod Wave', 'Rich Homie Quan', 'Plies', 'Taylor Girlz', 'Webbie']",5,32.844512,-83.617437,16,145.0,2020-04-17
114,The Weeknd with Special Guests Sabrina Claudio And Don Toliver,event,LIVE NATION MUSIC,,"To allow for more Card Members to enjoy the show, American Express has set a two-order limit for this offer. This limit applies across all Cards associated with all of your American Express accounts. Prepaid Cards are not eligible.",25.75,471.75,French Rap,Miami,Florida,AmericanAirlines Arena,The Weeknd,"['The Weeknd', 'Sabrina Claudio', 'Don Toliver']",3,25.781232,-80.187805,26,248.75,2020-07-19
115,RUSS:  Shake the Globe Tour,event,LIVE NATION MUSIC,"Please be advised that row and seat numbers on Lawn tickets are strictly for box office tracking. The lawn is all general admission, first-come first-served.",**All events are Rain or Shine**,39.75,69.75,French Rap,Nashville,Tennessee,Ascend Amphitheater,Russ,"['Russ', 'Benny The Butcher', 'BIA', 'Bugus']",4,36.159682,-86.771194,29,54.75,2020-06-24
116,Time Served Tour,event,PROMOTED BY VENUE,,VIP Meet & Greet packages are available to add on at checkout!,39.0,109.0,French Rap,Milwaukee,Wisconsin,Miller High Life Theatre,Moneybagg Yo,"['Moneybagg Yo', 'Yo Gotti', 'Fredo Bang', '42 Dugg', 'Blacc Zacc']",5,43.042257,-87.917498,9,74.0,2020-04-15
117,Kevin Gates - I'm Him Part 2 Tour,event,PROMOTED BY VENUE,,,45.0,65.0,French Rap,Omaha,Nebraska,Baxter Arena,Kevin Gates,['Kevin Gates'],1,41.238819,-96.014593,11,55.0,2020-05-28
